,category_id,parent_id,name,link_url
851,1561,1104.0,Разъемы для телефонов,http://e96.ru/phones/cell_phones/razemy_dlya_telefonov
852,849,847.0,Замки для велосипедов,http://e96.ru/sporting_goods/cycle_racing/zamki_dlya_velosipedov
853,1421,999.0,Приборы ночного видения,http://e96.ru/tourism/optical_devices/pribory_nochnogo_videniya
854,161,1076.0,Отбойные молотки,http://e96.ru/tools/hammers/pick_hammers
855,323,1033.0,Детские автокресла,http://e96.ru/kids/child_car_seats_and_strollers/avtomobilnye_kresla
856,1536,1143.0,Автомобильные коммуникаторы,http://e96.ru/avto/auto_accessories/avtomobilnye_kommunikatory
857,634,1041.0,Наборы для песочницы,http://e96.ru/kids/toys/nabory_dlja_pesochnicy
858,1056,1014.0,Каркасные бассейны,http://e96.ru/garden_cottage/pools/karkasnye_basseyny
859,1029,1003.0,Туристические прихватки,http://e96.ru/tourism/utensils_for_tourism/turisticheskie_prihvatki
860,1042,304.0,Товары для школы,http://e96.ru/kids/school_goods
861,1506,1504.0,Сухие корма для собак,http://e96.ru/tovary_dlja_sobak/suhie_korma_dlja_sobak
862,1397,1343.0,Шкафы для прихожей,http://e96.ru/furniture/hallway/shkafy_dlya_prihojey
863,228,1135.0,Tires,http://e96.ru/avto/tires_and_wheels/shiny
864,121,1113.0,Жесткие диски,http://e96.ru/computers/accessories/jestkie_diski
865,907,684.0,Атлетические перчатки,http://e96.ru/sporting_goods/weightlifting/atleticheskie_perchatki
866,746,1038.0,Уличные детские спортивные комплексы,http://e96.ru/kids/baby_complexes/ulichnye_detskie_sportivnye_kompleksy
867,1832,1201.0,Патроны на дистанционном управлении,http://e96.ru/household_appliances/electrics/patrony_na_distancionnom_upravlenii
868,1218,1197.0,Пароочистители,http://e96.ru/household_appliances/steamers/paroochistiteli
869,1683,46.0,Панели для микроволновых печей,http://e96.ru/built_in/paneli_dlya_mikrovolnovyh_pechey
870,927,1201.0,Рамки и вставки для электрооборудования,http://e96.ru/household_appliances/electrics/ramki_vstavki_dlya_elektrooborudovaniya
871,1251,24.0,Кухонные товары,http://e96.ru/kitchen_appliance/goods
872,1270,1136.0,Твитеры (ВЧ-динамики),http://e96.ru/avto/autosound/tvitery
873,1553,999.0,Объективы для зрительных труб,http://e96.ru/tourism/optical_devices/obektivy_dlya_zritelnyh_trub
874,1579,1577.0,Кровати IKEA,http://e96.ru/ikea/spalnya_ikea/krovati_ikea
875,1004,175.0,Наборы для пикника и мебель для кемпинга,http://e96.ru/tourism/picnic_sets_and_furniture_for_camping
876,276,1104.0,Чехлы для сотовых телефонов,http://e96.ru/phones/cell_phones/chekhly_dlja_sotovykh_telefonov
877,13,1156.0,Диктофоны,http://e96.ru/audio_video/audio/diktofony
878,462,1173.0,Поддоны,http://e96.ru/sanitary_engineering/shower_enclosures/poddony
879,1256,1252.0,Сорбетницы,http://e96.ru/kitchen_appliance/parties/sorbetnicy
880,896,806.0,Форма легкоатлетическая,http://e96.ru/sporting_goods/gym_and_aerobics/forma_legkoatleticheskaya
881,1558,1011.0,Наборы садовых инструментов,http://e96.ru/garden_cottage/hand_garden_tools/nabory_sadovyh_instrumentov
882,1444,1143.0,Автомобильные шторки,http://e96.ru/avto/auto_accessories/avtomobilnye_shtorki
883,352,1248.0,Фильтры для кофеварок,http://e96.ru/kitchen_appliance/tea_and_coffee/filtry_dlja_kofe
884,1315,39.0,Автомобильные масла,http://e96.ru/avto/car_oil
885,363,1196.0,Стенды под гладильные прессы,http://e96.ru/household_appliances/ironing/stendy_pod_gladilnye_pressy
886,154,1109.0,Планшетные компьютеры,http://e96.ru/computers/tablet_computers/planshetnye_kompyutery
887,1823,1344.0,Ширмы,http://e96.ru/furniture/bedroom/shirmy
888,820,1001.0,Карповые удочки,http://e96.ru/tourism/fishing/karpovye_udochki
