time,long_open,long_close,short_open,short_close,symbol
2022-11-09 01:00:00,,,23.26,,SOLBUSD
2022-11-09 02:30:00,,,18214.28,,BTCBUSD
2022-11-09 02:30:00,,,0.08468,,DOGEBUSD
2022-11-09 02:45:00,,,1297.32,,ETHBUSD
2022-11-09 03:00:00,,,,-21.98,SOLBUSD
2022-11-09 05:15:00,,,,-0.0875,DOGEBUSD
2022-11-09 05:30:00,,,,-18446.14,BTCBUSD
2022-11-09 08:00:00,,,18161.66,,BTCBUSD
2022-11-09 09:00:00,,,,-17878.38,BTCBUSD
2022-11-09 09:00:00,,,,-1239.59,ETHBUSD
2022-11-09 13:00:00,,,17331.09,,BTCBUSD
2022-11-09 13:30:00,,,296.0,,BNBBUSD
2022-11-09 13:30:00,,,,-299.6,BNBBUSD
2022-11-09 14:00:00,,,296.7,,BNBBUSD
2022-11-09 14:30:00,,,1191.81,,ETHBUSD
2022-11-09 14:30:00,,,0.08701,,DOGEBUSD
2022-11-09 14:30:00,,,,-1213.23,ETHBUSD
2022-11-09 14:30:00,,,,-0.08988,DOGEBUSD
2022-11-09 14:45:00,,,,-301.4,BNBBUSD
2022-11-09 15:30:00,,,295.4,,BNBBUSD
2022-11-09 15:30:00,,,0.08741,,DOGEBUSD
2022-11-09 15:30:00,,,1184.59,,ETHBUSD
2022-11-09 18:15:00,,,,-0.08007,DOGEBUSD
2022-11-09 18:30:00,,,,-280.9,BNBBUSD
2022-11-09 20:00:00,,,278.5,,BNBBUSD
2022-11-09 20:30:00,,,0.08061,,DOGEBUSD
2022-11-09 21:15:00,,,,-15984.14,BTCBUSD
2022-11-09 21:15:00,,,,-0.07442,DOGEBUSD
2022-11-09 21:15:00,,,,-263.0,BNBBUSD
2022-11-10 10:00:00,,,0.08222,,DOGEBUSD
2022-11-10 13:30:00,,,,-0.08561,DOGEBUSD
2022-11-10 20:45:00,-17784.46,,,,BTCBUSD
2022-11-10 21:00:00,-307.3,,,,BNBBUSD
2022-11-10 23:15:00,,300.8,,,BNBBUSD
2022-11-11 00:15:00,,17384.09,,,BTCBUSD
